Fraud,ID,Status ,Age,Sex,Race,Hispanic,Education,HigherEducation,Employment,Monthly_income,Annual_Income,Marital_Status,Years_Married,Children,Previously_Married,Citizenship,Address,City,State,Zip_Code,Previously_Denied_Visa,Foreign_Residence_Requirement,History_of_Crime,Expiration_Date_of_Passport,Date_of_Marriage,Expired_Passport_Marriage,Spouse_DOB,Spouse_Status,Spouse_Sex,Spouse_Age,Spouse_Annual_Income,Spouse_History_of_Crime
Yes,217-161-696,Immigrant,53,M,White,No,MA,Yes,FT,"$4,000 ","$48,000 ",Married,10,0,Yes,Philippines,6649 N Blue Gum St,New Orleans,LA,70116,Yes,No,Yes,12/21/2024,12/26/2024,Yes,3/25/1991,US Citizen,F,30,"$51,420.00",No
Yes,957-156-365,Immigrant,39,M,White,Yes,college,No,FT,"$1,300 ","$15,600 ",Married,6,0,Yes,El Salvador,4 B Blue Ridge Blvd,Brighton,MI,48116,No,Yes,Yes,2/10/2021,5/25/2025,Yes,5/19/1994,US Citizen,F,27,"$41,265.00",No
Yes,723-745-659,Immigrant,25,M,White,No,college,No,FT,"$1,600 ","$19,200 ",Married,14,0,No,China,8 W Cerritos Ave #54,Bridgeport,NJ,8014,No,No,Yes,10/29/2022,4/19/2019,No,8/7/1974,US Citizen,F,47,"$40,392.00",No
Yes,564-394-346,Immigrant,42,M,African American,No,college,No,PT,"$1,600 ","$19,200 ",Married,14,0,No,Cuba,639 Main St,Anchorage,AK,99501,No,Yes,Yes,10/16/2016,4/23/2024,Yes,9/7/1975,US Citizen,F,46,"$46,022.00",No
Yes,477-863-678,Immigrant,36,M,African American,No,MA,Yes,FT,"$2,500 ","$30,000 ",Married,1,0,Yes,Mexico,34 Center St,Hamilton,OH,45011,No,Yes,Yes,12/9/2020,8/21/2024,Yes,7/1/1988,US Citizen,F,33,"$53,583.00",No
Yes,853-654-523,Immigrant,40,M,African American,No,BA,Yes,FT,"$4,000 ","$48,000 ",Married,3,0,No,Mexico,3 Mcauley Dr,Ashland,OH,44805,No,No,Yes,4/17/2021,10/31/2018,No,8/9/1983,US Citizen,F,38,"$56,343.00",No
Yes,502-951-478,Immigrant,23,M,African American,No,MA,Yes,Unemployed,$0 ,$0 ,Divorced,10,0,No,India,7 Eads St,Chicago,IL,60632,Yes,No,Yes,7/29/2018,11/29/2025,Yes,7/21/1994,US Citizen,F,27,"$56,385.00",No
Yes,382-425-970,Immigrant,50,F,African American,No,BA,Yes,PT,$700 ,"$8,400 ",Married,13,0,Yes,South Korea,7 W Jackson Blvd,San Jose,CA,95111,No,Yes,Yes,3/14/2019,6/24/2021,Yes,5/1/1998,US Citizen,M,23,"$31,701.00",No
Yes,172-180-280,Immigrant,33,M,African American,No,12th grade,No,FT,"$5,000 ","$60,000 ",Married,10,0,Yes,Guatemala,5 Boston Ave #88,Sioux Falls,SD,57105,No,No,Yes,2/1/2021,9/10/2022,Yes,4/20/1990,US Citizen,F,31,"$49,538.00",No
Yes,386-703-517,Immigrant,30,F,White,No,BA,Yes,FT,"$3,000 ","$36,000 ",Married,9,0,Yes,Vietnam,228 Runamuck Pl #2808,Baltimore,MD,21224,No,Yes,No,4/4/2024,3/20/2019,No,7/4/1992,US Citizen,M,29,"$50,773.00",No
Yes,955-642-967,US_Citizen,34,F,African American,No,college,No,FT,"$1,000 ","$12,000 ",Married,3,0,Yes,United States,2371 Jerrold Ave,Kulpsville,PA,19443,No,No,No,12/18/2023,7/16/2022,No,3/1/1995,Immigrant,M,26,"$155,049.00",Yes
Yes,976-705-507,US_Citizen,23,F,White,No,MA,Yes,Unemployed,$0 ,$0 ,Married,13,0,Yes,United States,37275 St  Rt 17m M,Middle Island,NY,11953,No,No,Yes,6/19/2018,12/4/2018,Yes,6/2/1974,Immigrant,M,47,"$172,696.00",Yes
Yes,444-575-986,US_Citizen,44,F,White,Yes,MA,Yes,FT,"$2,000 ","$24,000 ",Married,0,0,No,United States,25 E 75th St #69,Los Angeles,CA,90034,No,Yes,Yes,10/9/2024,7/23/2016,No,11/24/1971,Immigrant,M,50,"$194,213.00",Yes
Yes,330-433-977,US_Citizen,23,F,African American,No,college,No,PT,$972 ,"$11,664 ",Divorced,1,0,No,United States,98 Connecticut Ave Nw,Chagrin Falls,OH,44023,No,Yes,Yes,7/7/2023,12/27/2020,No,8/24/1991,Immigrant,M,30,"$143,692.00",Yes
Yes,853-613-648,US_Citizen,40,F,African American,No,HS,No,Unemployed,$0 ,$0 ,Married,12,0,No,United States,56 E Morehead St,Laredo,TX,78045,No,No,Yes,10/5/2023,3/24/2025,Yes,2/9/1993,Immigrant,M,28,"$137,903.00",Yes
Yes,470-927-835,US_Citizen,34,F,African American,No,HS,No,PT,"$1,000 ","$12,000 ",Married,3,0,No,United States,73 State Road 434 E,Phoenix,AZ,85013,No,No,Yes,9/12/2022,9/28/2018,No,1/6/1991,Immigrant,M,30,"$167,172.00",No
Yes,650-948-109,US_Citizen,37,F,White,Yes,college,No,FT,"$1,600 ","$19,200 ",Married,8,0,Yes,United States,69734 E Carrillo St,Mc Minnville,TN,37110,No,No,Yes,3/22/2020,12/23/2021,Yes,10/11/1975,Immigrant,M,46,"$120,322.00",Yes
Yes,292-294-502,US_Citizen,27,M,African American,No,GED,No,Temporary,"$1,050 ","$12,600 ",Divorced,10,0,Yes,United States,322 New Horizon Blvd,Milwaukee,WI,53207,No,Yes,Yes,11/22/2020,11/28/2025,Yes,1/1/1979,Immigrant,F,42,"$152,305.00",No
Yes,751-164-246,US_Citizen,22,M,African American,No,college,No,FT,"$2,500 ","$30,000 ",Married,4,0,No,United States,1 State Route 27,Taylor,MI,48180,No,Yes,Yes,7/8/2019,11/20/2018,No,8/17/1978,Immigrant,F,43,"$178,485.00",Yes
Yes,444-545-432,US_Citizen,34,F,White,Yes,college,No,Unemployed,$0 ,$0 ,Married,5,0,Yes,United States,394 Manchester Blvd,Rockford,IL,61109,No,No,Yes,9/27/2016,10/13/2019,Yes,10/14/1997,Immigrant,M,24,"$85,891.00",Yes
Yes,312-690-672,US_Citizen,38,F,African American,No,12th grade,No,FT,"$1,500 ","$18,000 ",Divorced,1,0,No,United States,6 S 33rd St,Aston,PA,19014,No,Yes,Yes,8/17/2022,10/16/2021,No,10/25/1989,Immigrant,M,32,"$84,542.00",Yes
Yes,277-533-950,US_Citizen,26,F,African American,No,college,No,FT,$900 ,"$10,800 ",Married,9,0,Yes,United States,6 Greenleaf Ave,San Jose,CA,95111,No,Yes,No,3/12/2025,8/10/2018,No,7/30/1984,Immigrant,M,37,"$122,207.00",Yes
Yes,658-982-574,US_Citizen,42,F,African American,No,college,No,FT,"$1,000 ","$12,000 ",Divorced,11,0,No,United States,618 W Yakima Ave,Irving,TX,75062,No,No,Yes,2/11/2019,1/18/2022,Yes,12/25/1984,Immigrant,M,37,"$200,000.00",No
Yes,145-374-879,US_Citizen,26,F,Multiple Races,No,HS,No,FT,"$1,500 ","$18,000 ",Married,5,0,Yes,United States,74 S Westgate St,Albany,NY,12204,No,No,Yes,11/7/2018,12/16/2019,Yes,6/20/1989,Immigrant,M,32,"$75,805.00",Yes
Yes,333-192-578,US_Citizen,25,M,Multiple Races,No,college,No,Unemployed,$0 ,$0 ,Divorced,13,0,Yes,United States,3273 State St,Middlesex,NJ,8846,No,No,No,5/9/2017,7/31/2021,Yes,6/26/1988,Immigrant,F,33,"$194,080.00",Yes
Yes,771-240-333,US_Citizen,38,M,African American,No,college,No,FT,"$1,500 ","$18,000 ",Married,0,0,Yes,United States,1 Central Ave,Stevens Point,WI,54481,No,No,Yes,5/3/2021,10/13/2021,Yes,9/8/1998,Immigrant,F,23,"$141,457.00",No
Yes,401-591-997,US_Citizen,33,M,Multiple Races,No,BS,Yes,FT,"$2,500 ","$30,000 ",Married,8,0,Yes,United States,86 Nw 66th St #8673,Shawnee,KS,66218,No,No,No,12/31/2017,10/11/2023,Yes,3/10/1979,Immigrant,F,42,"$197,335.00",Yes
Yes,680-437-562,US_Citizen,29,F,African American,No,college,No,Unemployed,$0 ,$0 ,Married,14,0,Yes,United States,2 Cedar Ave #84,Easton,MD,21601,No,Yes,No,5/18/2017,5/18/2017,No,3/15/1998,Immigrant,M,23,"$116,253.00",Yes
Yes,931-399-578,US Citizen,25,F,Hispanic,Yes,college,No,FT,"$9,456 ","$113,472 ",Divorced,11,0,Yes,United States,69 Windsor St ,Dearborn,CA,91776,No,No,No,2/10/2021,4/27/2019,No,2/16/1990,Immigrant,M,31,"$122,021.00",No
Yes,580-897-416,US Citizen,51,F,African American,No,college,No,FT,"$9,987 ","$119,844 ",Married,8,0,Yes,United States,36th St W,Eleigh,FL,33013,No,No,Yes,3/31/2025,3/28/2023,No,5/22/1991,Immigrant,M,30,"$62,915.00",Yes
Yes,705-468-262,US Citizen,22,F,African American,No,college,No,FT,"$13,537 ","$162,444 ",Married,13,0,No,United States,362 Monroe St,Scotport,CA,91776,Yes,Yes,Yes,1/21/2019,11/10/2021,Yes,4/19/1993,Immigrant,M,28,"$122,790.00",No
Yes,475-369-512,US Citizen,27,F,African American,No,college,No,FT,"$12,748 ","$152,976 ",Married,7,0,Yes,United States,252 Newview St,Gapa Locka,IA,50315,No,No,Yes,4/16/2021,11/30/2017,No,2/15/1971,Immigrant,M,50,"$148,925.00",Yes
Yes,186-127-722,US Citizen,24,F,African American,No,college,No,FT,"$5,540 ","$66,480 ",Married,4,0,Yes,United States,89273 N French Rd,Nutley,MA,18030,No,No,Yes,7/20/2023,2/20/2021,No,7/25/1998,Immigrant,M,23,"$106,302.00",No
Yes,837-268-355,US Citizen,43,M,African American,No,college,No,FT,"$5,094 ","$61,128 ",Married,0,0,Yes,United States,3084 W Blue Spring St ,Richboro,IA,50322,No,Yes,Yes,9/12/2018,12/31/2022,Yes,3/4/1979,Immigrant,F,42,"$199,249.00",Yes
Yes,950-428-339,US Citizen,28,F,African American,No,college,No,FT,"$13,230 ","$158,760 ",Married,9,0,Yes,United States,55 Edgewater St ,Bucfield,FL,33012,No,No,No,5/31/2024,8/13/2025,Yes,10/20/1992,Immigrant,M,29,"$104,533.00",Yes
Yes,921-283-720,Immigrant,25,F,African American,No,MA,Yes,PT,"$12,511 ","$150,132 ",Married,4,0,Yes,Cuba,143 6 St,Glenrton,FL,33016,No,No,No,10/17/2018,4/22/2017,No,4/18/1980,US Citizen,M,41,"$48,374.00",No
Yes,235-927-436,US Citizen,40,F,African American,No,college,No,Unemployed,$0 ,$0 ,Married,0,0,Yes,United States,894 Main St,Escondido,IA,50322,No,No,Yes,3/8/2019,4/29/2016,No,5/26/1995,Immigrant,M,26,"$89,062.00",Yes
Yes,818-189-781,Immigrant,47,M,African American,No,BA,Yes,PT,"$5,597 ","$67,164 ",Divorced,7,0,No,Cuba,1422 Carpenter Ave,Butte,MA,18030,No,No,Yes,2/3/2025,3/26/2017,No,5/17/1975,US Citizen,F,46,"$43,843.00",No
Yes,648-645-873,US Citizen,48,M,African American,No,college,No,PT,"$1,849 ","$22,188 ",Married,5,0,Yes,United States,61304 W N St ,Seville,NJ,8611,No,Yes,Yes,5/11/2017,6/26/2023,Yes,3/19/1981,Immigrant,F,40,"$133,157.00",Yes
Yes,787-441-501,Immigrant,31,F,African American,No,MA,Yes,Unemployed,"$14,593 ","$175,116 ",Married,0,0,Yes,Dominican Republic,76 S. Rockport St ,Niceville,TX,79109,No,No,Yes,9/29/2018,11/17/2019,Yes,12/28/1979,US Citizen,M,42,"$57,770.00",No
Yes,510-920-632,US Citizen,24,M,African American,No,college,No,FT,"$11,397 ","$136,764 ",Divorced,8,0,No,United States,5 Washington St #1,Pellen,CA,9211,Yes,Yes,Yes,4/12/2023,2/8/2021,No,8/3/1978,Immigrant,F,43,"$102,185.00",Yes
